"NEQ","NomEntreprise","Adresse","Municipalite","Adresse_Lign3","CodePostal","SecteurActivite","FormeJuridique","lat","long"
1143390608,"Agricultrices de la Mauricie","230 rue Vachon","Trois-Rivières (Québec)",NA,"G8T8Y2","SYNDICALISME AGRICOLE","APE",46.374435,-72.551127
1143392968,"LA CORPORATION DE LA MAISON DES JEUNES ""ACTION-JEUNESSE"" INC.","5585 RUE Jean-Paul Lavergne","Trois-Rivières (Québec)",NA,"G8Y3Y5","LIEU ADAPTÉ POUR LES JEUNES DE 12-17 ANS, MAISON DES JEUNES","APE",46.356924,-72.606752
1143384668,"LES PETITS CHANTEURS DE TROIS-RIVIÈRES INC.","725 rue Hart","Trois-Rivières (Québec)",NA,"G9A4R9","Enseignement musical en solfège, instrument et chant choral aux élèves de la maternelle, du primaire et du secondaire","APE",46.346344,-72.537946
1143353655,"SYNDICAT CANADIEN DE LA FONCTION PUBLIQUE, SECTION LOCALE 3423","1325 PLACE de l'Hôtel de ville","CP 368","Trois-Rivières (Québec)","G9A5H3","ÉTUDE, DÉFENSE ET DÉVELOPPEMENT DES INTÉRÊTS ÉCONOMIQUES, SOCIAUX ET MORAUX","APE",46.342939,-72.543433
1143377852,"COMITE DE LOISIRS DE LAC AUX SABLES INC.","820 rue Saint-Alphonse","Lac-aux-Sables (Québec)",NA,"G0X1M0","PROMOUVOIR LES LOISIRS DANS LA MUNICIPALITÉ","APE",46.859055,-72.400153
1143378785,"SYNDICAT DE L'ENSEIGNEMENT DE LA MAURICIE (S.E.M.)","840 av. de Saint-Georges","Shawinigan (Québec)",NA,"G9T5K4","SYDICALISME","APE",46.627339,-72.648388
1143490960,"CLUB DE CANOT KAYAK RADISSON INC.","805-1400 av. des Draveurs","Trois-Rivières (Québec)",NA,"G9A0E4","CLUB DE CANOT-KAYAK","APE",46.348699,-72.534934
1143511641,"CLUB DE L'AGE D'OR SAINT-JEAN-DES-PILES INC.","1596 ch. de Saint-Jean-des-Piles","Shawinigan (Québec)",NA,"G0X2V0","SOCIALE POUR GENS DU 3E ÂGE","APE",46.691988,-72.740428
1143522564,"CORPORATION DE DEVELOPPEMENT DE SAINT-TITE INC.","403-575 rue des Canots","Shawinigan (Québec)",NA,"G9T0H1","ASSOCIATION COMMERCIALE","APE",46.638939,-72.67832
1143503705,"LES FEMMES DYNAMIQUES DE CAP-DE-LA-MADELEINE INC.","440 rue Alphonse-Piché","Trois-Rivières (Québec)",NA,"G8V2S8","CULTURELLE, FORMER, RECRÉER","APE",46.383029,-72.498997
